accession,Estimated TE number
9103,14415.18893
9104,14842.58344
9105,13122.06805
9106,14198.18045
9111,14399.14159
9113,6231
9114,14999.38264
9115,12919.02453
9121,13601.85595
9125,15058.98478
9128,14918.4844
9130,8831.95423
9131,14986.49109
9133,14444.21008
9134,14519.77007
915,16297.0122
9298,15994.34931
9321,15166.98992
932,15950.38346
9323,15358.49413
9332,16581.1228
9336,15927.38715
9339,16019.69373
9343,14549.30139
9353,16260.28257
9363,16736.6723
9369,15244.4591
9370,16320.55704
9371,15159.33324
9382,14782.6447
9383,15600.20775
9386,15654.95189
9388,15793.81043
9390,15254.58966
9392,15189.17881
9394,14823.12856
9395,15384.62051
9399,15336.67416
9402,15636.06087
9405,15115.6716
9407,15590.37132
9408,15572.77785
9409,14688.72118
9412,15202.45511
9413,15136.46565
9416,15772.12862
9421,15477.60502
9427,15479.13758
9433,14830.85277
9436,15744.01912
9450,13936.40179
9451,15553.468
9452,15012.87934
9453,15463.53602
9454,14992.90055
9455,15011.70832
9470,14635.44768
9471,15576.43448
9476,14611.38075
9481,15358.83163
9506,15436.85731
9507,16571.67554
9508,15423.97273
9509,15600.93369
9510,15549.46907
9511,15728.11583
9512,15641.72706
9513,15407.62047
9514,15005.88865
9515,15655.5285
9517,15240.95165
9518,15870.7864
9519,15415.54526
9520,15844.07278
9521,15551.21337
9522,15810.92935
9523,15628.72585
9524,15298.00427
9525,16001.82037
9526,15693.88925
9527,15838.38247
9528,15490.69432
9529,15546.63659
9530,15343.66168
9531,15763.34463
9532,15271.50746
9533,15486.85453
9534,15345.36836
9535,15866.91882
9536,15769.73799
9537,15590.41113
9539,15621.28234
9540,15619.99511
9541,15782.12413
9542,15805.62796
9543,16093.93905
9544,15742.06308
9545,14972.31221
9546,15068.98628
9547,15549.71628
9548,15223.77739
9549,15213.29641
9550,14605.12648
9551,15244.90704
9552,15710.19752
9553,15766.83976
9554,14103.31419
9555,15347.87598
9556,15350.21041
9557,15544.05266
9558,15408.48989
9559,15860.95426
9560,15582.3469
9561,15670.69816
9562,15623.26624
9564,16216.11728
9565,15705.15905
9567,15673.38089
9568,16028.78363
9569,15315.01832
9571,15628.79579
9573,15071.00194
9574,15492.71368
9576,14931.2887
9577,15688.47647
9578,14837.99418
9579,15905.56679
9581,15683.39424
9582,15627.32761
9583,15518.99547
9584,15719.34434
9585,15558.14096
9586,13736.88299
9587,15768.43346
9588,15635.90604
9589,15598.83829
9590,15818.03075
9591,14941.06643
9593,14969.8557
9594,16003.9223
9595,15716.86303
9596,15780.45465
9597,15492.18907
9598,15672.41697
9599,15705.40152
9600,15666.72098
9601,16004.6955
9602,14146.74253
9606,14741.03998
9607,14892.7566
9609,14973.66079
9611,14884.97651
9612,14874.50664
9613,14842.59546
9616,15901.17765
9617,15306.71419
9619,15193.62948
9620,15324.05308
9621,15473.51491
9625,15455.10158
9626,15417.19129
9627,15590.97417
9628,15443.53638
9629,15379.02201
9630,15630.214
9631,15463.47227
9633,14294.87234
9634,15092.4884
9635,14691.58387
9636,14834.05604
9637,14927.98114
9638,14849.8026
9639,14860.9723
9640,15068.95305
9641,15668.07493
9643,15364.41271
9644,15305.86146
9645,15393.07954
9647,14646.38529
9648,12742.22314
9649,15294.59209
9651,15392.87984
9653,15499.17372
9656,15731.79093
9660,14939.50572
9663,15217.72323
9664,15642.42114
9665,15904.77106
9666,16170.26533
9667,15921.30238
9668,16226.25825
9669,15747.37729
9670,15916.19344
9671,15748.8726
9672,15028.26647
9673,15435.40565
9676,15573.7939
9677,15173.84063
9678,14574.74262
9679,14862.99829
9680,14610.61564
9681,15404.32255
9682,13296.38579
9683,14101.84142
9684,14192.38903
9685,15552.24165
9686,13088.32353
9687,15346.78839
9689,15471.21857
9690,15956.62483
9692,15404.99029
9693,15558.47049
9694,14983.10412
9695,15711.95229
9696,15550.39382
9698,15623.13754
9699,16025.45198
9700,15819.97699
9701,15241.75069
9703,15127.53118
9704,15303.62629
9705,14985.92923
9706,15696.2792
9708,15542.45857
9710,15254.17487
9711,15251.70581
9712,15002.3953
9713,14866.43833
9717,15113.04186
9718,14383.63846
9719,15014.5199
9720,15400.18179
9721,15268.9896
9722,15574.36822
9725,15123.17728
9726,15365.03702
9728,14727.11478
9730,15178.08825
9731,15328.3504
9732,14807.66161
9733,15791.66189
9736,14713.9289
9738,15476.59477
9743,15539.17706
9744,15109.93628
9745,15171.01156
9748,15888.88542
9749,14498.29518
9754,15139.73696
9755,15215.78771
9756,15093.25892
9757,15629.6059
9758,12999.57949
9759,13437.05001
9762,12428.64197
9764,9542.692126
9766,13651.70294
9768,14457.27387
9769,15008.77888
9770,14311.70925
9771,14899.47436
9772,14155.16135
9774,14306.46203
9775,14899.25025
9776,14025.80383
9777,14672.97488
9778,14531.28405
9779,15655.36187
9780,14636.34207
9781,15418.60853
9782,14809.7238
9783,15258.01625
9784,14605.53731
9785,15195.22818
9786,14363.75734
9787,15230.10493
9788,14507.6874
9789,14628.02403
9791,14880.63127
9792,14706.7997
9793,15062.58617
9794,14655.45683
9795,12724.49857
9796,14100.46135
9797,14603.49209
9798,14065.44556
9799,15278.63195
9800,14409.18554
9801,15321.0099
9802,14541.90974
9803,15488.11272
9804,14785.59645
9805,15555.02501
9806,14543.26857
9807,14934.9112
9808,14403.82756
9809,15444.80064
9810,15004.30349
9811,14003.43047
9812,15157.94187
9813,13863.31432
9814,14696.85584
9815,14564.20886
9816,14174.12347
9817,13988.6452
9819,13027.83338
9820,13898.30537
9821,13571.15978
9822,13615.24917
9823,12479.20654
9824,11799.51783
9825,13771.6003
9826,13301.19982
9827,14364.78629
9828,14295.79695
9830,14465.26262
9831,13288.46619
9832,14415.77143
9833,14774.17858
9834,13294.563
9835,14275.4552
9836,14329.36969
9837,13602.73768
9838,13795.07394
9839,14031.22013
9840,14521.47867
9841,14772.94974
9843,14256.72221
9844,16270.1477
9845,14352.96258
9846,13568.99907
9847,12451.11145
9848,13782.47001
9849,14831.53571
9850,14312.87722
9851,13103.53746
9852,13947.38009
9853,13366.74458
9854,13948.49697
9855,14670.12219
9856,12670.46242
9857,11037.89135
9858,12413.57368
9859,10862.85977
9860,10360.11588
9861,11677.44511
9862,11771.73357
9864,14011.78737
9866,14440.58328
9867,14489.03368
9868,14368.34006
9869,12487.03107
9870,13628.01914
9871,14440.0222
9873,14100.3382
9874,14371.67951
9875,13996.25239
9876,14064.83865
9877,14125.76964
9878,14520.19939
9879,15027.8963
9880,14977.24908
9881,13738.26021
9882,14139.22277
9883,13526.02941
9885,13204.74611
9886,14694.03796
9887,14690.91968
9888,14733.96741
9890,14490.44713
9891,15249.74154
9892,14582.19401
9894,13281.99819
9895,14626.83215
9897,13795.8674
9898,14583.46462
9899,13602.16778
9900,15014.64972
9901,15117.39182
9902,14389.88135
9903,14627.94014
9904,16745.98951
9905,12683.0069
9906,14686.61103
991,16264.71431
9918,15762.2827
992,15213.43802
9925,16115.8683
9926,14861.31292
9933,15829.67925
9938,16375.55552
997,16030.21903
