id,name,country,latitude,longitude,FT10,FT16
7107,Durh-1,UK,54.7761,-1.5733,67.25,50.75
7109,Ema-1,UK,51.3,0.5,60.75,45.75
7111,Edi-0,UK,55.9494,-3.16028,86,NA
7117,El-0,GER,51.5105,9.68253,58,36.5
7119,En-2,GER,50,8.5,65.5,41
7120,En-D,GER,50,8.5,62.5,42.75
7123,Ep-0,GER,50.1721,8.38912,70.75,41
7125,Er-0,GER,49.5955,11.0087,69.25,42.75
7126,Es-0,FIN,60.1997,24.5682,95.5,97.25
7127,Est,EST,58.6656,24.9871,59.75,45.5
7130,Et-0,FRA,44.6447,2.56481,91.66666667,78.25
7133,Fr-2,GER,50.1102,8.6822,76,46.25
7138,Fi-0,GER,50.5,8.0167,85.5,68.5
7143,Gel-1,NED,51.0167,5.86667,83,44.5
7147,Gie-0,GER,50.584,8.67825,74.5,52.66666667
7148,Gifu-2,JPN,35.45,137.42,73.75,66
7158,Gr-5,AUT,47,15.5,63.33333333,47.75
7160,Gre-0,USA,43.178,-85.2532,72.25,66.5
7161,Gd-1,GER,53.5,10.5,61.25,39.33333333
7162,Hs-0,GER,52.24,9.44,65,42.75
7163,Ha-0,GER,52.3721,9.73569,66.5,44
7164,Hau-0,DEN,55.675,12.5686,69.75,59.25
7165,Hn-0,GER,51.3472,8.28844,71.5,43.5
7166,Hey-1,NED,51.25,5.9,67.25,50.75
7167,,,NA,NA,57,34.25
7169,Hh-0,GER,54.4175,9.88682,82.5,78.25
7177,Jm-0,CZE,49,15,65.75,45.25
7181,Je-0,GER,50.927,11.587,96.75,97
7182,,,NA,NA,64,42.33333333
7186,Kn-0,LTU,54.8969,23.8924,75,49.75
7192,Kil-0,UK,55.6395,-5.66364,68.75,42
7199,Kl-5,GER,50.95,6.9666,66.5,37
7202,Kb-0,GER,50.1797,8.50861,63,40.75
7203,Krot-0,GER,49.631,11.5722,67.25,44.5
7206,Kro-0,GER,50.0742,8.96617,65,40.25
7207,Kyoto,JPN,35.0085,135.752,70.25,49.75
7208,Lan-0,UK,55.6739,-3.78181,73,46
7209,La-0,POL,52.7333,15.2333,63.5,45.25
7213,Ler-0,GER,47.984,10.8719,65.5,40
7217,Lm-2,FRA,48,0.5,56.5,38
7218,Le-0,NED,52.1611,4.49015,75,51.25
7223,Li-2:1,GER,50.3833,8.0666,75.75,54.75
7231,Li-7,GER,50.3833,8.0666,65.75,45.33333333
7236,Litva,LTU,NA,NA,73.5,47.5
7244,Mnz-0,GER,50.001,8.26664,68,46
7248,Mv-0,USA,41.3923,-70.6652,71.5,66.66666667
7250,Me-0,GER,51.9183,10.1138,58,37.75
7252,Mc-0,UK,54.6167,-2.3,112.6666667,96.66666667
7255,Mh-0,GER,50.95,7.5,62,47.33333333
7258,Nw-0,GER,50.5,8.5,71,43.5
7263,Nz-1,NZL,-37.7871,175.283,61.75,41.66666667
7268,Np-0,GER,52.6969,10.981,65.75,43.66666667
7273,No-0,GER,51.0581,13.2995,77,43.66666667
7276,Ob-0,GER,50.2,8.5833,73.75,49.25
7280,Old-1,GER,53.1667,8.2,80.75,46.5
7282,Or-0,GER,50.3827,8.01161,62.5,37.5
7287,Ove-0,GER,53.3422,8.42255,71,48.25
7288,Oy-0,NOR,60.385543,6.193019,82.5,70.25
7296,Petergof,RUS,59,29,84.25,62.5
7298,Pi-0,AUT,47.04,10.51,81.75,53.25
7305,Pt-0,GER,53.476,10.6065,79.25,51.5
7306,Pog-0,CAN,49.2655,-123.206,76.5,49.75
7307,Pn-0,FRA,48.0653,-2.96591,78.5,72.33333333
7308,Po-0,GER,50.7167,7.1,84.75,54.5
7314,Ragl-1,UK,54.3512,-3.41697,66,42.25
7316,Rhen-1,NED,51.9667,5.56667,81.25,89.25
7319,Rome-1,ITA,42,12.1,58.5,52.75
7320,Rou-0,FRA,49.4424,1.09849,80.75,74.5
7322,Rsch-4,RUS,56.3,34,76.5,51.75
7323,Rubezhnoe-1,UKR,49,38.28,75.75,64.25
7327,Sf-1,ESP,41.7833,3.03333,64.5,53.5
7328,Sf-2,ESP,41.7833,3.03333,56.25,51.33333333
7329,Santa Clara,USA,37.21,-121.16,66.75,42
7330,Sapporo-0,JPN,43.0553,141.346,85.25,49
7332,Seattle-0,USA,47,-122.2,64,43.5
7333,Sei-0,ITA,46.5438,11.5614,68.75,39.75
7337,Si-0,GER,50.8738,8.02341,74.5,47.5
7342,Su-0,UK,53.6473,-3.00733,83,65
7343,Sp-0,GER,52.5339,13.181,72,51.25
7344,Sg-1,GER,47.6667,9.5,73.5,47.66666667
7346,Sten-0,GER,52.6058,11.8558,78.25,58.66666667
7347,Stw-0,RUS,52,36,64.75,47
7349,Ta-0,CZE,49.5,14.5,81.25,52.75
7350,Tac-0,USA,47.2413,-122.459,80,52
7351,Ty-0,UK,56.4278,-5.23439,97.33333333,72.66666667
7353,Tha-1,NED,52.08,4.3,86,70.5
7354,Ting-1,SWE,56.5,14.9,100.25,108.3333333
7355,Tiv-1,ITA,41.96,12.8,80.75,80.75
7356,Tol-0,USA,41.6639,-83.5553,88,64.33333333
7372,Tscha-1,AUT,47.0748,9.9042,83,54.5
7373,Tsu-0,JPN,34.43,136.31,81.25,54.75
7375,,,NA,NA,75.75,54.25
7377,Tul-0,USA,43.2708,-85.2563,75.75,59.75
7378,Uk-1,GER,48.0333,7.7667,71.25,52
7382,Utrecht,NED,52.0918,5.1145,55.5,40
7383,Van-0,CAN,49.2655,-123.206,60.5,38
7384,Ven-1,NED,52.0333,5.55,76.25,65.75
7387,Vind-1,UK,54.9902,-2.3671,60.75,41.25
7394,Wa-1,POL,52.3,21,56.75,41.75
7396,Ws-0.2,RUS,52.3,30,61.5,51.5
7404,Wc-1,GER,52.6,10.0667,68.5,41.33333333
7411,Wl-0,GER,47.9299,10.8134,66,54
7413,Wil-2,LTU,54.6833,25.3167,69.25,48
7415,Wu-0,GER,49.7878,9.9361,72.25,45.25
