Sample,Ecotype_id,Name,Tissue,Condition,Sequenced by,Genome_mCG,Genome_mCHG,Genome_mCHH,Genome_mC,TE_mCG,TE_mCHG,TE_mCHH,TE_mC,RdDM_mCG,RdDM_mCHG,RdDM_mCHH,RdDM_mC,CMT2_mCG,CMT2_mCHG,CMT2_mCHH,CMT2_mC,mGB_mCG
6113_10C,6113,T550,Leaf,10 寮C,GMI,0.029296881,0.007303593,0.007250971,0.043851446,0.468322532,0.1739661,0.038493992,0.110960787,0.690386059,0.314311245,0.115279366,0.218570352,0.747605351,0.388711602,0.064765985,0.205523692,0.188467701
6114_16C,6114,T570,Leaf,16 寮C,GMI,0.028272007,0.007369007,0.008222315,0.043863329,0.486406061,0.193129467,0.048395981,0.123500999,0.708057685,0.359200713,0.144855154,0.25089849,0.759411197,0.405727802,0.078634816,0.220219787,0.181053308
6115_10C,6115,T580,Leaf,10 寮C,GMI,0.028719654,0.007361047,0.007487725,0.043568426,0.473822261,0.172849581,0.039566741,0.113658518,0.707348384,0.315066861,0.116962844,0.225324501,0.752079088,0.391873588,0.068200149,0.211281955,0.178389768
6118_16C,6118,T610,Leaf,16 寮C,GMI,0.030439756,0.009023847,0.009763412,0.049227015,0.476231774,0.211275546,0.059738533,0.133417099,0.703164812,0.393516468,0.182913685,0.283249834,0.734274681,0.41928441,0.090021703,0.230264717,0.177441749
6122_10C,6122,T670,Leaf,10 寮C,GMI,0.031817374,0.008838346,0.007906539,0.048562258,0.490644708,0.198865781,0.041171593,0.118539317,0.720563757,0.349772686,0.122962007,0.232473334,0.767444459,0.435586208,0.071451544,0.222895897,0.199788425
6122_16C,6122,T670,Leaf,16 寮C,GMI,0.029748516,0.008092462,0.011023549,0.048864527,0.485994346,0.216307948,0.067672392,0.13955,0.707262203,0.40394597,0.189726504,0.286645323,0.751683678,0.434644584,0.109192438,0.244857295,0.195692387
6124_10C,6124,T690,Leaf,10 寮C,GMI,0.034575631,0.010286802,0.007258369,0.052120802,0.488152374,0.205065083,0.041998824,0.123836788,0.71663525,0.353750529,0.136392545,0.247832571,0.77419754,0.437442388,0.058590572,0.222537312,0.182627255
6124_16C,6124,T690,Leaf,16 寮C,GMI,0.032073838,0.009373907,0.007739108,0.049186853,0.484942125,0.201180476,0.045165869,0.125232302,0.715438188,0.353041212,0.139612655,0.250628277,0.763091762,0.422379637,0.072118848,0.226148927,0.178722972
6125_10C,6125,T710,Leaf,10 寮C,GMI,0.032222323,0.008935613,0.004920903,0.04607884,0.471221791,0.213611594,0.037116003,0.117479723,0.703080482,0.394218807,0.143148999,0.253219038,0.698116001,0.417296375,0.019139689,0.176780746,0.206530151
6126_10C,6126,T720,Leaf,10 寮C,GMI,0.025423253,0.006475561,0.007077782,0.038976596,0.473354666,0.181916116,0.04182524,0.114276574,0.705369184,0.334698028,0.126474222,0.231060369,0.767513975,0.402536324,0.067101202,0.208525515,0.170778626
6127_10C,6127,T730,Leaf,10 寮C,GMI,0.0273121,0.007364287,0.007127613,0.041804,0.472353682,0.194215788,0.037184873,0.11413737,0.694943156,0.318059916,0.100196304,0.211749902,0.760956794,0.434540182,0.06786521,0.217581906,0.180448368
6128_10C,6128,T740,Leaf,10 寮C,GMI,0.034594876,0.010741937,0.008910185,0.054246998,0.501068976,0.211177697,0.046393476,0.128480548,0.730841068,0.378903588,0.141792831,0.254406884,0.796923384,0.444054298,0.07377698,0.234779664,0.182112798
6131_10C,6131,T780,Leaf,10 寮C,GMI,0.03256529,0.009728533,0.007033095,0.049326918,0.494346454,0.214138482,0.041389857,0.122101774,0.735023376,0.376315334,0.136704971,0.248518472,0.786780349,0.465341593,0.055345131,0.220056727,0.200248335
6131_16C,6131,T780,Leaf,16 寮C,GMI,0.034847872,0.01067465,0.007951157,0.053473679,0.490341118,0.217807174,0.049471077,0.130878249,0.731411297,0.394577918,0.163597497,0.275536894,0.771417886,0.45492832,0.064859759,0.228234469,0.195835433
6133,6133,T800,Leaf,a.t.,SALK,0.024812034,0.006849172,0.010792182,0.042453388,0.472577696,0.194491235,0.059699583,0.124719324,0.699431637,0.382275585,0.17870236,0.267750663,0.734787349,0.378586652,0.091922627,0.215884651,0.166845739
