Sample,Ecotype_id,Name,Tissue,Condition,Sequenced by,Genome_mCG,Genome_mCHG,Genome_mCHH,Genome_mC,TE_mCG,TE_mCHG,TE_mCHH,TE_mC,RdDM_mCG,RdDM_mCHG,RdDM_mCHH,RdDM_mC,CMT2_mCG,CMT2_mCHG,CMT2_mCHH,CMT2_mC,mGB_mCG
6201,6201,TDr-16,Leaf,a.t.,SALK,0.02795707,0.007663799,0.013411335,0.049032204,0.506820055,0.208029101,0.073084856,0.140471939,0.747141479,0.430260254,0.221851501,0.312285563,0.801388742,0.383921137,0.102063657,0.23285055,0.180123891
6202_10C,6202,TDr-17,Leaf,10 寮C,GMI,0.037516285,0.012164654,0.008484701,0.05816564,0.478065073,0.235154751,0.052495964,0.13578541,0.721617027,0.412262946,0.178350528,0.288173096,0.789994373,0.505786829,0.068809154,0.243331538,0.214591048
6202_16C,6202,TDr-17,Leaf,16 寮C,GMI,0.036610608,0.011097664,0.009666269,0.057374541,0.492565182,0.23364539,0.05478174,0.136246175,0.739540769,0.407391552,0.178140304,0.286550342,0.805851087,0.502852538,0.076372487,0.24342286,0.231828513
6203,6203,TDr-18,Leaf,a.t.,SALK,0.02883499,0.008020119,0.014031055,0.050886164,0.523466979,0.195329431,0.063791981,0.13410718,0.756070397,0.388536565,0.180675829,0.277511339,0.801236575,0.389267226,0.105891767,0.235269758,0.169832749
6209_10C,6209,TEDEN 02,Leaf,10 寮C,GMI,0.031538631,0.007284838,0.007741095,0.046564564,0.50185501,0.183268864,0.048686628,0.12433743,0.730315683,0.345234886,0.153186533,0.255406356,0.783230788,0.379394967,0.065346005,0.210592521,0.208583602
6210_10C,6210,TEDEN 03,Leaf,10 寮C,GMI,0.040292475,0.010577893,0.011430069,0.062300438,0.491209941,0.198167579,0.058083985,0.135400044,0.724768584,0.375994236,0.178114687,0.282016536,0.778504268,0.408656289,0.081560897,0.233577848,0.238814784
6216_16C,6216,TF蹄 06,Leaf,16 寮C,GMI,0.042897157,0.010421879,0.009476837,0.062795873,0.49876243,0.207021348,0.055413246,0.134524108,0.733021728,0.387324396,0.182757685,0.286798381,0.798881445,0.424514927,0.071181715,0.229593632,0.277814171
6217,6217,TF蹄 07,Leaf,a.t.,SALK,0.03491387,0.008395815,0.015346397,0.058656082,0.527237618,0.205797569,0.072890913,0.14385431,0.75623223,0.418057664,0.218591661,0.30974889,0.82253526,0.397733438,0.106169352,0.242497971,0.264823432
6218,6218,TF蹄 08,Leaf,a.t.,SALK,0.030574835,0.007121278,0.012148206,0.049844319,0.511897717,0.20873123,0.072199166,0.140622667,0.739749004,0.4286191,0.222963407,0.310405578,0.803366273,0.39925565,0.098424717,0.231517146,0.242989426
6220,6220,TGR 01,Leaf,a.t.,SALK,0.031854947,0.006992129,0.013013399,0.051860474,0.55245929,0.199541856,0.069027774,0.140805932,0.777633533,0.394200987,0.188852983,0.284399664,0.817249138,0.37701505,0.10932614,0.238065849,0.245348901
6221_10C,6221,TGR 02,Leaf,10 寮C,GMI,0.037888015,0.009377252,0.009704772,0.056970038,0.511509208,0.213006135,0.052562045,0.134647869,0.746440909,0.380271005,0.153801688,0.267974861,0.792281683,0.412544549,0.076705506,0.227998229,0.256826311
6231_10C,6231,TNY 04,Leaf,10 寮C,GMI,0.03601348,0.008207922,0.009809296,0.054030698,0.525224135,0.203233543,0.053279276,0.131840071,0.756528327,0.356127023,0.151067126,0.257993296,0.825832805,0.431979301,0.091872313,0.241009318,0.273933269
6235_10C,6235,TOM 01,Leaf,10 寮C,GMI,0.042191553,0.009849844,0.00961192,0.061653316,0.520476734,0.204987673,0.049718287,0.13139007,0.75197999,0.369331169,0.152869089,0.263715986,0.795824712,0.42445544,0.072324693,0.225857635,0.296232605
6237_10C,6237,TOM 03,Leaf,10 寮C,GMI,0.034276554,0.007151625,0.007604038,0.049032218,0.496394929,0.183522055,0.044113476,0.120785881,0.721657836,0.332208947,0.133342575,0.240337423,0.765370599,0.386200313,0.065953253,0.208232461,0.258505483
6237_16C,6237,TOM 03,Leaf,16 寮C,GMI,0.039651506,0.008713483,0.009857761,0.058222751,0.495382549,0.194509472,0.05764192,0.13398824,0.727385961,0.378392312,0.176099977,0.281438873,0.764983714,0.39536888,0.092640256,0.232274515,0.276387294
6238_10C,6238,TOM 04,Leaf,10 寮C,GMI,0.037253042,0.008718389,0.008261539,0.05423297,0.487973728,0.191013954,0.050454491,0.127380038,0.719468495,0.361349597,0.158763172,0.265508146,0.764822085,0.397800009,0.070963073,0.219151907,0.245057163
6241,6241,TOM 07,Leaf,a.t.,SALK,0.033250969,0.007957031,0.01564919,0.05685719,0.51317565,0.200712809,0.075781397,0.142677237,0.734436297,0.411898206,0.213970294,0.302338796,0.80469919,0.386833546,0.125074255,0.249534087,0.256212324
6242_10C,6242,Tomegap-2,Leaf,10 寮C,GMI,0.034392513,0.010408905,0.008338543,0.053139962,0.475700741,0.201121511,0.045302092,0.123175338,0.707928955,0.357088529,0.141871106,0.249179632,0.766575386,0.436291459,0.070505901,0.228205816,0.187863142
6242_16C,6242,Tomegap-2,Leaf,16 寮C,GMI,0.029978515,0.008665653,0.009065623,0.047709791,0.474032984,0.19758177,0.049758639,0.125086367,0.704225212,0.354990978,0.145591476,0.252136772,0.759110128,0.417454436,0.082145457,0.227519128,0.178030651
6243_10C,6243,Tottarp-2,Leaf,10 寮C,GMI,0.039339398,0.011376345,0.009702155,0.060417899,0.540029798,0.227920455,0.051489175,0.137269236,0.764188006,0.398537369,0.159179835,0.27288509,0.827901148,0.47188408,0.078101186,0.244107882,0.236208159
6244_16C,6244,TR蹄 01,Leaf,16 寮C,GMI,0.039806998,0.007847541,0.009343505,0.056998043,0.48121872,0.174506308,0.059042212,0.131485063,0.726494973,0.365715992,0.190031879,0.290999296,0.786925813,0.349751384,0.082491337,0.223278336,0.27237721
6252_10C,6252,TV-4,Leaf,10 寮C,GMI,0.034560975,0.009704872,0.010668612,0.054934459,0.493074653,0.219539768,0.05567361,0.133769896,0.727913972,0.373806775,0.151627825,0.26069037,0.788041227,0.478560278,0.103093817,0.251660746,0.238556797
6252_16C,6252,TV-4,Leaf,16 寮C,GMI,0.036457333,0.010704133,0.013075216,0.060236681,0.499290799,0.236279748,0.070035787,0.146849751,0.734153218,0.417339113,0.195642294,0.299666544,0.800002488,0.488003326,0.12036632,0.26644347,0.243969784
6255,6255,TV-7,Leaf,a.t.,SALK,0.034033912,0.010791787,0.021805062,0.066630761,0.512777923,0.25908946,0.096686481,0.165625336,0.750713698,0.482343796,0.249123108,0.338799657,0.827361387,0.510706614,0.166410687,0.301269899,0.267631631
6258_10C,6258,TV-10,Leaf,10 寮C,GMI,0.029025651,0.00770085,0.007870476,0.044596976,0.486184003,0.208917115,0.043227515,0.121079916,0.704480919,0.350438989,0.119187785,0.229028105,0.761111062,0.450986785,0.078492647,0.223646613,0.209629924
6268,6268,TV-22,Leaf,a.t.,SALK,0.030770599,0.008862287,0.019057809,0.058690695,0.502891835,0.257670788,0.105634391,0.169963871,0.732589899,0.487220307,0.270821562,0.352582528,0.81561492,0.496361785,0.175564207,0.302374542,0.252674841
6276_10C,6276,TV-30,Leaf,10 寮C,GMI,0.035798041,0.009857884,0.010255627,0.055911552,0.492786805,0.207452156,0.050598065,0.12976749,0.725510811,0.363186478,0.140229167,0.253466458,0.780316826,0.450283977,0.092176922,0.242795583,0.221093277
6276_16C,6276,TV-30,Leaf,16 寮C,GMI,0.03785531,0.010756773,0.012986035,0.061598118,0.496239073,0.234804354,0.066971267,0.143845417,0.735384976,0.407578762,0.178375105,0.283805856,0.809462194,0.502032358,0.127628319,0.277860137,0.259922875
6284,6284,TV-38,Leaf,a.t.,SALK,0.031745471,0.009829794,0.018087434,0.059662699,0.551395573,0.234134979,0.081777012,0.156312056,0.78067964,0.450951682,0.232619418,0.32818351,0.837509903,0.44982266,0.127814548,0.267033098,0.191003717
6296,6296,UduI 1-11,Leaf,a.t.,SALK,0.028795221,0.008388251,0.012431655,0.049615127,0.511086038,0.222086045,0.063244163,0.135712945,0.742175054,0.40249281,0.180653087,0.277728303,0.815489307,0.458647932,0.104754092,0.247568115,0.209796288
6390,6390,UduI 3-36,Leaf,a.t.,SALK,0.033309492,0.010562915,0.015425354,0.059297761,0.506819202,0.234332262,0.075529135,0.14792847,0.7307393,0.438935192,0.219174375,0.312096876,0.798742259,0.467492933,0.120710361,0.26239017,0.222023466
6396,6396,UduI 4-9,Leaf,a.t.,SALK,0.044618963,0.014346459,0.017744678,0.0767101,0.531555636,0.251652915,0.098199119,0.180371266,0.753730317,0.480360705,0.29791076,0.39478348,0.794483663,0.442123147,0.115383985,0.263516661,0.213603603
6413_10C,6413,Ull3-4,Leaf,10 寮C,GMI,0.028873122,0.008658978,0.008083473,0.045615573,0.476644059,0.209573538,0.047420117,0.125134587,0.704744583,0.37619366,0.149586573,0.257904432,0.744328605,0.436599954,0.065718999,0.216058456,0.178945557
6434,6434,ZdrI 2-9,Leaf,a.t.,SALK,0.026105267,0.008208217,0.011880621,0.046194104,0.508134822,0.239259335,0.06416557,0.135635337,0.735825276,0.411726848,0.167432482,0.264669851,0.818587057,0.494353952,0.119177386,0.257407898,0.188228895
6445,6445,ZdrI 2-21,Leaf,a.t.,SALK,0.029493253,0.006624868,0.012831704,0.048949826,0.524379166,0.183824914,0.06773292,0.135217147,0.747450616,0.379274526,0.200619711,0.289116946,0.843946481,0.373346762,0.109204946,0.238860397,0.217828966
6680,6680,ANH-1,Leaf,a.t.,SALK,0.026239207,0.007195165,0.012020529,0.045454901,0.493462912,0.204379013,0.065607723,0.132650611,0.716537084,0.391080712,0.181035356,0.273283442,0.780689414,0.416048662,0.111952981,0.24022217,0.176210587
6709,6709,Bg-2,Leaf,a.t.,SALK,0.032945381,0.01030239,0.012498559,0.05574633,0.500085819,0.213761382,0.064193384,0.138244465,0.719243259,0.395363973,0.193647669,0.290527761,0.7631513,0.430278078,0.09096376,0.230595309,0.186139021
6744,6744,CSHL-5,Leaf,a.t.,SALK,0.035363421,0.011626283,0.015156793,0.062146496,0.512502543,0.227371785,0.065804714,0.141063555,0.735009048,0.401540002,0.174902317,0.276981986,0.821276868,0.471408232,0.119736092,0.267496715,0.210761279
6830,6830,Kz-13,Leaf,a.t.,SALK,0.027647272,0.007564583,0.00642827,0.041640124,0.517793088,0.209521821,0.039169043,0.117463975,0.751878418,0.405216107,0.151236122,0.257571532,0.825245834,0.389031961,0.022031894,0.177996946,0.185770929
6897,6897,Ag-0,Leaf,a.t.,SALK,0.041770847,0.015521922,0.019893703,0.077186472,0.540861911,0.25767028,0.086019866,0.16839021,0.768182772,0.448978756,0.237062194,0.339465947,0.852276825,0.528140074,0.13683226,0.298854739,0.204439213
6900,6900,Bil-5,Leaf,a.t.,SALK,0.032580533,0.008227295,0.017249775,0.058057602,0.483052939,0.209106993,0.084627687,0.148433204,0.735983574,0.413322569,0.225217071,0.313851873,0.809213361,0.428822857,0.151228,0.277582753,0.26775093
6903_bud,6903,Bor-4,Flower bud,a.t.,SALK,0.036943937,0.016525654,0.023495703,0.076965295,0.525529032,0.289718303,0.088052063,0.171453078,0.758423766,0.485289206,0.242245743,0.346442222,0.824585117,0.562449485,0.13692336,0.296088183,0.171007613
6903_pub,6903,Bor-4,Leaf,a.t.,SALK,0.036369076,0.0163804,0.030658041,0.083407517,0.50073026,0.27320112,0.106900498,0.178586014,0.72384077,0.489906979,0.277035803,0.366169461,0.783305923,0.536947188,0.19285478,0.325042123,0.166759785
6904_bud,6904,Br-0,Flower bud,a.t.,SALK,0.04571467,0.017318036,0.017628813,0.080661519,0.561227625,0.30960189,0.09849001,0.195643424,0.80573699,0.523185501,0.296898741,0.411265421,0.878653082,0.602791916,0.125685607,0.309001645,0.2184841
6906,6906,C24,Leaf,a.t.,SALK,0.02587196,0.006775766,0.014395993,0.047043719,0.486657422,0.190851552,0.073228918,0.136315986,0.707790161,0.348476949,0.175664225,0.2621009,0.780927241,0.401245313,0.144421628,0.262423894,0.180555056
6907,6907,CIBC-17,Leaf,a.t.,SALK,0.030530449,0.009476083,0.014980984,0.054987516,0.500330716,0.223157325,0.08024487,0.152714919,0.725440528,0.417489396,0.222555689,0.318492489,0.776961494,0.428184632,0.12646186,0.260334754,0.175197326
6908,6908,CIBC-5,Leaf,a.t.,SALK,0.051643959,0.019082559,0.022661493,0.093388011,0.558494833,0.278492661,0.109019504,0.197504753,0.794566532,0.515997373,0.32407544,0.42768361,0.844168845,0.490042664,0.127528774,0.291380294,0.203845987
6909_10C,6909,Col-0,Leaf,10 寮C,GMI,0.031554664,0.010859904,0.010152347,0.052566915,0.511971699,0.208414053,0.048661451,0.128722791,0.750589651,0.375021525,0.156133213,0.266372453,0.806452289,0.451171772,0.079920167,0.234314662,0.172367559
6909_16C,6909,Col-0,Leaf,16 寮C,GMI,0.033292444,0.010593588,0.011416619,0.055302652,0.520935054,0.204279143,0.052012066,0.131572591,0.759302705,0.373390939,0.15927928,0.269723398,0.815847726,0.433564696,0.087801357,0.236231965,0.190834213
6909_pub,6909,Col-0,Leaf,a.t.,SALK,0.042922925,0.01967593,0.033584022,0.096182877,0.552511736,0.307908585,0.124535336,0.204432559,0.816991809,0.576905897,0.358936952,0.454147203,0.881933441,0.574736511,0.180827566,0.3359171,0.183870978
6911_pub,6911,Cvi-0,Leaf,a.t.,SALK,0.02904405,0.015120327,0.023524711,0.067689088,0.522909469,0.300005549,0.108201083,0.184703615,0.782724703,0.538280186,0.292399057,0.388701244,0.846920728,0.557492624,0.157476558,0.30708703,0.074659398
6913_10C,6913,Eden-2,Leaf,10 寮C,GMI,0.035585424,0.008404736,0.008701479,0.05269164,0.505270441,0.204913907,0.047463849,0.125884303,0.734341984,0.36336781,0.137138258,0.246541659,0.780403457,0.424352789,0.072315951,0.222168352,0.259734099
6913_16C,6913,Eden-2,Leaf,16 寮C,GMI,0.029706325,0.006679626,0.008989749,0.0453757,0.469506038,0.18682214,0.048619267,0.119003195,0.696333815,0.349823372,0.137228016,0.238411816,0.716114236,0.370822292,0.069696811,0.201416139,0.227968902
6915,6915,Ei-2,Leaf,a.t.,SALK,0.038518136,0.015123542,0.02222179,0.075863468,0.524341685,0.24865511,0.086665638,0.164195324,0.759480075,0.461242707,0.258975059,0.354141716,0.858722434,0.522797656,0.140964436,0.296617487,0.172480366
6917,6917,F蘝b-2,Leaf,a.t.,SALK,0.026025241,0.006649539,0.011519187,0.044193967,0.503147485,0.198187054,0.066415721,0.13420309,0.746278699,0.401591039,0.195393382,0.288647984,0.811241443,0.383017764,0.099987774,0.231729149,0.180929781
6918_16C,6918,F蘝b-4,Leaf,16 寮C,GMI,0.037275315,0.00848823,0.008174302,0.053937847,0.495594844,0.198426747,0.046364052,0.125469895,0.728727598,0.362200877,0.143710931,0.25391993,0.776275829,0.414566218,0.063804268,0.215668186,0.266429259
6919_pub,6919,Ga-0,Leaf,a.t.,SALK,0.052113344,0.019938572,0.045818123,0.117870039,0.561453455,0.277346973,0.141825926,0.216547217,0.795220112,0.528883779,0.365561992,0.450454641,0.854952321,0.520556142,0.236765458,0.367385404,0.225473032
6920,6920,Got-22,Leaf,a.t.,SALK,0.025429515,0.008035445,0.012865823,0.046330782,0.49319671,0.207896704,0.063666557,0.131849864,0.731703043,0.392252445,0.177893344,0.273136334,0.769162837,0.414647047,0.105625499,0.232901098,0.147566446
6921,6921,Got-7,Leaf,a.t.,SALK,0.035149452,0.014139294,0.029873002,0.079161749,0.499210844,0.255833143,0.11707652,0.184776668,0.739629888,0.493227898,0.308078654,0.392702207,0.79589242,0.48172598,0.194430018,0.319210185,0.154413898
6922_pub,6922,Gu-0,Leaf,a.t.,SALK,0.051088959,0.022717906,0.037084613,0.110891478,0.578792497,0.313078563,0.127507867,0.214923416,0.825274379,0.571775622,0.35755096,0.455821742,0.884232268,0.580500166,0.191163521,0.348857437,0.196190415
6923,6923,HR-10,Leaf,a.t.,SALK,0.037626372,0.012620772,0.016407526,0.06665467,0.511317271,0.235840051,0.080840223,0.157799428,0.737372264,0.44466519,0.231709839,0.33163394,0.805359419,0.447681863,0.115065853,0.260853205,0.1879495
6924_bud,6924,HR-5,Flower bud,a.t.,SALK,0.043291246,0.018879311,0.021202359,0.083372916,0.562873336,0.32533089,0.095339038,0.191065397,0.818073616,0.548772641,0.284148284,0.399990251,0.888394069,0.621497963,0.120281903,0.307040023,0.193504776
6926_bud,6926,Kin-0,Flower bud,a.t.,SALK,0.041945391,0.016433714,0.016527881,0.074906986,0.567898783,0.287058056,0.076675071,0.170897695,0.810332459,0.478957338,0.231001196,0.346732246,0.893352109,0.578117346,0.105411883,0.288613184,0.207104019
6926_pub,6926,Kin-0,Leaf,a.t.,SALK,0.039047204,0.01583649,0.023830161,0.078713856,0.545750504,0.283263397,0.102071138,0.183730259,0.780470583,0.521722636,0.309309572,0.400909242,0.875490756,0.56977884,0.159524932,0.321087945,0.189932471
6927,6927,KNO-10,Leaf,a.t.,SALK,0.031712784,0.009060442,0.010413476,0.051186702,0.489467177,0.187704518,0.049492186,0.123813409,0.708550359,0.326926489,0.144596164,0.247624593,0.764436993,0.398150781,0.079164412,0.21668597,0.190200963
6928_pub,6928,KNO-18,Leaf,a.t.,SALK,0.03239613,0.013007847,0.022542919,0.067946896,0.492255372,0.262964014,0.098823651,0.171051229,0.72242091,0.477301035,0.277412402,0.36467279,0.795732848,0.534533987,0.169149135,0.309727662,0.162006112
6929_pub,6929,Kondara,Leaf,a.t.,SALK,0.035777213,0.013497864,0.029804967,0.079080044,0.500069741,0.272307335,0.128549796,0.194515433,0.750578237,0.544977082,0.3614313,0.437213221,0.784191932,0.498152373,0.203445256,0.326595621,0.201672572
6931_pub,6931,Kz-9,Leaf,a.t.,SALK,0.0406714,0.018299953,0.012368152,0.071339505,0.49896505,0.296138926,0.073218884,0.163294183,0.744879712,0.532328426,0.279781744,0.382380987,0.808848059,0.550245457,0.032855126,0.231646662,0.16477597
6932_pub,6932,Ler-1,Leaf,a.t.,SALK,0.056940324,0.027556625,0.052210525,0.136707474,0.552856446,0.320275265,0.147478434,0.228707498,0.817606573,0.579791817,0.380460121,0.475573886,0.868995907,0.601367262,0.238817102,0.383352509,0.205674736
6933,6933,LL-0,Leaf,a.t.,SALK,0.024045648,0.007566595,0.012409799,0.044022042,0.452961643,0.197337921,0.065185276,0.127186392,0.671494828,0.371843458,0.187885841,0.270105809,0.770612658,0.42459522,0.109733791,0.238220147,0.141254803
6937,6937,Mrk-0,Leaf,a.t.,SALK,0.026743099,0.006718292,0.012842767,0.046304158,0.489565665,0.199649368,0.071735323,0.135612961,0.720955195,0.387551756,0.198432034,0.285404134,0.795981598,0.418729766,0.127733891,0.253415692,0.210292242
6938_bud,6938,Ms-0,Flower bud,a.t.,SALK,0.043873284,0.016932664,0.018185921,0.078991869,0.583213864,0.322056009,0.103018487,0.202086822,0.825892201,0.539027725,0.295903042,0.413712043,0.879806226,0.591776216,0.128106048,0.306135666,0.2046585
6939,6939,Mt-0,Leaf,a.t.,SALK,0.04188033,0.014419466,0.016961935,0.07326173,0.488748219,0.229309148,0.082722686,0.159771428,0.724935689,0.438092695,0.245033279,0.347041597,0.758517467,0.403670089,0.103973039,0.245872858,0.170769706
6940_bud,6940,Mz-0,Flower bud,a.t.,SALK,0.041972317,0.0161955,0.018669784,0.076837601,0.5639083,0.293541192,0.090505154,0.183182988,0.82022094,0.503593367,0.270805833,0.385207853,0.890405681,0.560025701,0.116825271,0.292722462,0.198715099
6943,6943,NFA-10,Leaf,a.t.,SALK,0.035864859,0.013448236,0.01708316,0.066396255,0.501689826,0.24628918,0.080032217,0.156014645,0.747961467,0.462945967,0.244013901,0.342211981,0.812074511,0.489170367,0.117457665,0.268345337,0.177308866
6944,6944,NFA-8,Leaf,a.t.,SALK,0.02951009,0.008490461,0.013988617,0.051989169,0.539666787,0.219646139,0.071355924,0.145139079,0.771030449,0.414058448,0.194982013,0.293373656,0.852596687,0.455483994,0.12700876,0.268189697,0.193215283
6945_bud,6945,Nok-3,Flower bud,a.t.,SALK,0.052524325,0.019865882,0.020400481,0.092790688,0.581530127,0.338103531,0.12267519,0.220993859,0.83302306,0.581382971,0.367041657,0.473725869,0.886049356,0.600194206,0.122308358,0.311894172,0.246669021
6951_bud,6951,Pu2-23,Flower bud,a.t.,SALK,0.044508017,0.019213767,0.020980422,0.084702207,0.560220004,0.316156882,0.085050521,0.180032086,0.818449679,0.520834625,0.250042435,0.369496869,0.893150641,0.631348504,0.124936991,0.312755328,0.216343453
6951_pub,6951,Pu2-23,Leaf,a.t.,SALK,0.046082974,0.021390371,0.033542364,0.101015709,0.52455838,0.295910917,0.108920426,0.188538685,0.768923549,0.523772501,0.29684046,0.393867554,0.846634357,0.601132412,0.191641779,0.345516716,0.207810673
6956,6956,Pu2-7,Leaf,a.t.,SALK,0.028721773,0.007050866,0.012683172,0.04845581,0.508113377,0.189594549,0.064916861,0.133214521,0.729320018,0.367507914,0.176385148,0.270606538,0.809102972,0.392031864,0.116019157,0.244976864,0.200001541
6957,6957,Pu2-8,Leaf,a.t.,SALK,0.051880303,0.01753087,0.024575149,0.093986322,0.550468588,0.266244908,0.127929416,0.209691993,0.775294292,0.507041726,0.363180459,0.452327449,0.814014586,0.430093008,0.141120703,0.289471586,0.196753784
6958_pub,6958,Ra-0,Leaf,a.t.,SALK,0.041129671,0.017821782,0.031271565,0.090223017,0.530676467,0.277903935,0.106841286,0.183967402,0.775969808,0.516435932,0.295539107,0.389774187,0.840902707,0.55447324,0.186908452,0.332432889,0.183197304
6959,6959,Ren-1,Leaf,a.t.,SALK,0.032934418,0.011198825,0.015683172,0.059816416,0.522110045,0.223344938,0.071892,0.14744532,0.750429341,0.409161093,0.199228145,0.299136597,0.824383107,0.468929849,0.125822434,0.271119185,0.168163419
6960,6960,Ren-11,Leaf,a.t.,SALK,0.029702946,0.009989279,0.014081589,0.053773813,0.489523081,0.219474825,0.071992404,0.143486287,0.710825077,0.407693251,0.202017196,0.297225717,0.758407454,0.432061087,0.110959918,0.242565358,0.156577048
6961_bud,6961,Se-0,Flower bud,a.t.,SALK,0.042917032,0.017065529,0.019592782,0.079575344,0.555334319,0.339038734,0.112689852,0.206511507,0.808027172,0.569201857,0.304776164,0.420975014,0.857439458,0.593830333,0.140328257,0.313711387,0.204493392
6963_bud,6963,Sorbo,Flower bud,a.t.,SALK,0.038514256,0.016417107,0.025339429,0.080270793,0.553288543,0.296874618,0.099186924,0.182626839,0.808029262,0.519128064,0.282144109,0.383935561,0.877570925,0.571296762,0.141874281,0.307932542,0.169624515
6966,6966,Sq-1,Leaf,a.t.,SALK,0.032623557,0.011480597,0.014697313,0.058801467,0.483961746,0.22435174,0.074428054,0.147262041,0.702169347,0.412429763,0.211356172,0.305316268,0.742764031,0.418285455,0.098820035,0.231617362,0.160767212
6967_bud,6967,Sq-8,Flower bud,a.t.,SALK,0.045821432,0.018137213,0.021017941,0.084976587,0.577795501,0.305133735,0.092458665,0.188535917,0.835547413,0.53025626,0.280670226,0.398627287,0.896635562,0.580585996,0.113280043,0.299266896,0.207343088
6968_bud,6968,Tamm-2,Flower bud,a.t.,SALK,0.051213247,0.020126644,0.017236267,0.088576159,0.558568928,0.35020994,0.10574629,0.206944282,0.821943972,0.578110871,0.308681459,0.432144237,0.88127451,0.637948649,0.114848837,0.311169944,0.249841407
6969,6969,Tamm-27,Leaf,a.t.,SALK,0.037350782,0.011637503,0.015785114,0.064773399,0.483115005,0.231531384,0.086510137,0.158241952,0.731802684,0.447294782,0.253848154,0.348876777,0.755021043,0.419996938,0.103848488,0.238838834,0.212179269
6970,6970,Ts-1,Leaf,a.t.,SALK,0.026426464,0.007062293,0.013540426,0.047029183,0.503232362,0.205719235,0.072926883,0.139499259,0.72643809,0.401389332,0.18914126,0.280604636,0.814807465,0.415227343,0.129593784,0.258913952,0.176241795
6971,6971,Ts-5,Leaf,a.t.,SALK,0.030161323,0.009705952,0.014179898,0.054047173,0.499261532,0.218144298,0.065843272,0.13716946,0.726837703,0.400232074,0.174667227,0.272243302,0.81754517,0.45360105,0.121462278,0.261079911,0.178777224
6973,6973,Ull2-3,Leaf,a.t.,SALK,0.04940373,0.013901749,0.019699067,0.083004546,0.530084214,0.211825555,0.081242011,0.162374367,0.750155956,0.380180593,0.212141324,0.320806609,0.803998645,0.404380129,0.130125978,0.266635191,0.238328859
6973_10C,6973,Ull2-3,Leaf,10 寮C,GMI,0.031996405,0.00761014,0.008017004,0.047623548,0.504278607,0.179404255,0.036002964,0.114536534,0.726029631,0.290650318,0.095563237,0.20732239,0.786556896,0.407585243,0.065460827,0.211041078,0.230477799
6973_16C,6973,Ull2-3,Leaf,16 寮C,GMI,0.030544684,0.006974864,0.008475619,0.045995167,0.500043283,0.17111194,0.039224573,0.113704228,0.724207493,0.281304576,0.101317391,0.207176158,0.774344606,0.386803565,0.074603747,0.212531754,0.226858947
6974,6974,Ull2-5,Leaf,a.t.,SALK,0.030035204,0.010069235,0.016725821,0.05683026,0.521269016,0.2299271,0.076371776,0.148019317,0.758112842,0.445330751,0.224081203,0.31736167,0.798898836,0.441920284,0.112182954,0.248725413,0.170924985
6975_bud,6975,Uod-1,Flower bud,a.t.,SALK,0.040457564,0.014922239,0.022253781,0.077633584,0.573436873,0.268276584,0.087063206,0.174059598,0.817690967,0.473985893,0.253305164,0.361469846,0.893639277,0.528964981,0.119733661,0.288692194,0.191793221
6976,6976,Uod-7,Leaf,a.t.,SALK,0.028828762,0.007958652,0.011168247,0.04795566,0.478774621,0.194572794,0.058380711,0.12604536,0.699046782,0.366207027,0.170341528,0.263511749,0.738978715,0.398312844,0.092317546,0.217282706,0.195764864
6979,6979,Wei-0,Leaf,a.t.,SALK,0.030463096,0.007724944,0.014190944,0.052378984,0.538394508,0.195675381,0.069579362,0.139852583,0.747436832,0.385864433,0.192264853,0.286261369,0.826854155,0.394415073,0.117144685,0.246882682,0.207047269
6981_bud,6981,Ws-2,Flower bud,a.t.,SALK,0.043628721,0.016763343,0.01310941,0.073501474,0.574094045,0.321655485,0.073138762,0.178010192,0.820671748,0.517937874,0.23010282,0.36171828,0.887002066,0.612634169,0.083817874,0.278662771,0.227505439
6982_pub,6982,Wt-5,Leaf,a.t.,SALK,0.041086228,0.016565631,0.039100751,0.096752609,0.512454136,0.262095369,0.136880126,0.20335703,0.765082932,0.537182959,0.376407189,0.454344176,0.822243553,0.505455633,0.226887347,0.352207799,0.171552916
6984_bud,6984,Zdr-1,Flower bud,a.t.,SALK,0.037223625,0.015177565,0.016828293,0.069229483,0.547844747,0.290669775,0.069866718,0.159081384,0.789664202,0.453494223,0.188752449,0.305065831,0.879300671,0.613059528,0.118097421,0.293477346,0.20941247
6984_pub,6984,Zdr-1,Leaf,a.t.,SALK,0.04672956,0.022560848,0.036283575,0.105573983,0.528289872,0.30806479,0.11405711,0.195248865,0.764044536,0.536944211,0.302997996,0.400162427,0.851674158,0.624832812,0.210570366,0.361443015,0.206867462
6986_pub,6986,Abd-0,Leaf,a.t.,SALK,0.050807723,0.020866328,0.037517704,0.109191756,0.540544858,0.290800436,0.13328954,0.211912924,0.804574116,0.568361014,0.375560185,0.46628002,0.872672039,0.551095373,0.198888049,0.350143275,0.199858264
6987,6987,Ak-1,Leaf,a.t.,SALK,0.045090674,0.016149242,0.026955194,0.08819511,0.540125717,0.251292786,0.104126895,0.18141289,0.774211677,0.496351465,0.315004653,0.404602268,0.848702533,0.482347864,0.152776286,0.299324111,0.220967079
6989,6989,Alst-1,Leaf,a.t.,SALK,0.027826234,0.007055179,0.012564489,0.047445902,0.523907536,0.197719852,0.068884636,0.138332442,0.754552445,0.386005687,0.188057163,0.281970197,0.842492325,0.413719316,0.122810477,0.256134437,0.194196112
