experiment,tray,row,column,genotype,bag_received
crosses,14,3,7,8231 x 1158,
crosses,14,5,6,8231 x 1158,
crosses,15,2,3,8231 x 1158,
crosses,15,3,2,8231 x 1158,
crosses,15,6,11,8231 x 1158,
crosses,10,2,1,8231 x 6024,1
crosses,10,3,2,8231 x 6024,
crosses,10,6,7,8231 x 6024,1
crosses,11,2,1,8231 x 6024,1
crosses,11,3,11,8231 x 6024,
crosses,11,5,5,8231 x 6024,1
crosses,12,1,7,8231 x 6024,1
crosses,12,4,6,8231 x 6024,
crosses,12,6,6,8231 x 6024,
crosses,13,1,7,8231 x 6024,
crosses,13,4,11,8231 x 6024,1
crosses,13,5,6,8231 x 6024,
crosses,14,2,10,8231 x 6024,
crosses,14,3,8,8231 x 6024,
crosses,14,6,5,8231 x 6024,1
crosses,15,2,11,8231 x 6024,
crosses,15,4,7,8231 x 6024,
crosses,15,6,3,8231 x 6024,
crosses,10,1,1,8231a,
crosses,10,3,9,8231a,1
crosses,10,5,9,8231a,1
crosses,11,1,8,8231a,1
crosses,11,3,9,8231a,1
crosses,11,6,8,8231a,
crosses,12,1,2,8231a,1
crosses,12,3,5,8231a,1
crosses,12,5,11,8231a,
crosses,13,2,11,8231a,
crosses,13,4,2,8231a,
crosses,13,5,9,8231a,1
crosses,14,2,6,8231a,
crosses,14,3,6,8231a,
crosses,14,6,6,8231a,
crosses,15,1,1,8231a,
crosses,15,4,6,8231a,
crosses,15,5,1,8231a,
crosses,10,2,11,8231b,1
crosses,10,3,11,8231b,1
crosses,10,5,10,8231b,
crosses,11,1,10,8231b,1
crosses,11,3,5,8231b,
crosses,11,5,1,8231b,
crosses,12,2,4,8231b,
crosses,12,3,6,8231b,
crosses,12,6,1,8231b,1
crosses,13,1,11,8231b,
crosses,13,4,3,8231b,
crosses,13,6,10,8231b,1
crosses,14,2,4,8231b,1
crosses,14,3,1,8231b,
crosses,14,6,10,8231b,
crosses,15,2,4,8231b,1
crosses,15,4,2,8231b,
crosses,15,5,3,8231b,
crosses,10,1,2,NA,
crosses,10,1,3,NA,
crosses,10,4,6,NA,
crosses,10,4,10,NA,
crosses,10,6,3,NA,
crosses,10,6,8,NA,
crosses,11,1,9,NA,
crosses,11,2,9,NA,
crosses,11,3,8,NA,
crosses,11,4,10,NA,
crosses,11,5,8,NA,
crosses,11,6,3,NA,
crosses,12,1,1,NA,
crosses,12,2,5,NA,
crosses,12,3,7,NA,
crosses,12,3,8,NA,
crosses,12,5,2,NA,
crosses,12,5,3,NA,
crosses,13,1,8,NA,
crosses,13,2,8,NA,
crosses,13,3,1,NA,
crosses,13,3,11,NA,
crosses,13,5,2,NA,
crosses,13,6,7,NA,
crosses,14,1,1,NA,
crosses,14,1,11,NA,
crosses,14,3,10,NA,
crosses,14,4,7,NA,
crosses,14,5,7,NA,
crosses,14,5,10,NA,
crosses,15,1,5,NA,
crosses,15,2,9,NA,
crosses,15,3,6,NA,
crosses,15,4,3,NA,
crosses,15,6,8,NA,
crosses,15,6,10,NA,
