id,experiment,tray,row,column,block,genotype,harvested_june2020
P1.6.40,1001G,7,4,10,40,6125,1
,1001G,7,4,11,40,NA,
P1.3.41,1001G,7,5,1,41,6024,
P1.2.41,1001G,7,5,2,41,6017,
P1.7.41,1001G,7,5,3,41,6184,
P1.6.41,1001G,7,5,4,41,6125,
,1001G,7,5,5,41,NA,
P1.8.41,1001G,7,5,6,41,6237,
P1.10.41,1001G,7,5,7,41,8231,
P1.5.41,1001G,7,5,8,41,6092,1
P1.1.41,1001G,7,5,9,41,1158,1
P1.4.41,1001G,7,5,10,41,6046,1
P1.9.41,1001G,7,5,11,41,6244,1
P1.9.42,1001G,7,6,1,42,6244,1
P1.8.42,1001G,7,6,2,42,6237,
P1.2.42,1001G,7,6,3,42,6017,
P1.3.42,1001G,7,6,4,42,6024,
P1.4.42,1001G,7,6,5,42,6046,
,1001G,7,6,6,42,NA,
P1.1.42,1001G,7,6,7,42,1158,
P1.7.42,1001G,7,6,8,42,6184,
P1.5.42,1001G,7,6,9,42,6092,
P1.10.42,1001G,7,6,10,42,8231,1
P1.6.42,1001G,7,6,11,42,6125,
P1.3.43,1001G,8,1,1,43,6024,
P1.10.43,1001G,8,1,2,43,8231,1
P1.1.43,1001G,8,1,3,43,1158,1
P1.7.43,1001G,8,1,4,43,6184,1
P1.9.43,1001G,8,1,5,43,6244,1
,1001G,8,1,6,43,NA,
P1.5.43,1001G,8,1,7,43,6092,1
P1.8.43,1001G,8,1,8,43,6237,
P1.2.43,1001G,8,1,9,43,6017,1
P1.6.43,1001G,8,1,10,43,6125,1
P1.4.43,1001G,8,1,11,43,6046,1
P1.3.44,1001G,8,2,1,44,6024,
P1.4.44,1001G,8,2,2,44,6046,
,1001G,8,2,3,44,NA,
P1.6.44,1001G,8,2,4,44,6125,1
P1.7.44,1001G,8,2,5,44,6184,1
P1.2.44,1001G,8,2,6,44,6017,1
P1.10.44,1001G,8,2,7,44,8231,1
P1.5.44,1001G,8,2,8,44,6092,1
P1.9.44,1001G,8,2,9,44,6244,1
P1.8.44,1001G,8,2,10,44,6237,1
P1.1.44,1001G,8,2,11,44,1158,1
P1.5.45,1001G,8,3,1,45,6092,
P1.1.45,1001G,8,3,2,45,1158,
P1.2.45,1001G,8,3,3,45,6017,1
P1.8.45,1001G,8,3,4,45,6237,1
P1.9.45,1001G,8,3,5,45,6244,
,1001G,8,3,6,45,NA,
P1.3.45,1001G,8,3,7,45,6024,1
P1.6.45,1001G,8,3,8,45,6125,1
P1.7.45,1001G,8,3,9,45,6184,1
P1.4.45,1001G,8,3,10,45,6046,1
P1.10.45,1001G,8,3,11,45,8231,1
P1.6.46,1001G,8,4,1,46,6125,1
P1.7.46,1001G,8,4,2,46,6184,1
P1.8.46,1001G,8,4,3,46,6237,1
P1.5.46,1001G,8,4,4,46,6092,1
P1.1.46,1001G,8,4,5,46,1158,1
P1.4.46,1001G,8,4,6,46,6046,1
P1.2.46,1001G,8,4,7,46,6017,1
P1.3.46,1001G,8,4,8,46,6024,1
P1.9.46,1001G,8,4,9,46,6244,1
,1001G,8,4,10,46,NA,
P1.10.46,1001G,8,4,11,46,8231,
P1.6.47,1001G,8,5,1,47,6125,1
P1.10.47,1001G,8,5,2,47,8231,1
P1.4.47,1001G,8,5,3,47,6046,1
P1.3.47,1001G,8,5,4,47,6024,1
P1.9.47,1001G,8,5,5,47,6244,1
P1.8.47,1001G,8,5,6,47,6237,1
P1.5.47,1001G,8,5,7,47,6092,1
P1.1.47,1001G,8,5,8,47,1158,1
,1001G,8,5,9,47,NA,
P1.2.47,1001G,8,5,10,47,6017,1
P1.7.47,1001G,8,5,11,47,6184,1
P1.8.48,1001G,8,6,1,48,6237,1
P1.3.48,1001G,8,6,2,48,6024,
P1.9.48,1001G,8,6,3,48,6244,
,1001G,8,6,4,48,NA,
P1.6.48,1001G,8,6,5,48,6125,
P1.7.48,1001G,8,6,6,48,6184,1
P1.5.48,1001G,8,6,7,48,6092,1
P1.2.48,1001G,8,6,8,48,6017,1
P1.1.48,1001G,8,6,9,48,1158,1
P1.4.48,1001G,8,6,10,48,6046,
P1.10.48,1001G,8,6,11,48,8231,1
P1.2.49,1001G,9,1,1,49,6017,
,1001G,9,1,2,49,NA,
P1.5.49,1001G,9,1,3,49,6092,1
P1.1.49,1001G,9,1,4,49,1158,1
P1.7.49,1001G,9,1,5,49,6184,
P1.4.49,1001G,9,1,6,49,6046,1
