experiment,tray,long_edge,short_edge,mother,genotype,type
F2s,2,4,6,F1.2.02,1158 x 6125,F2
F2s,2,5,1,F1.2.02,1158 x 6125,F2
F2s,2,6,2,F1.7.09,8231 x 1158,F2
F2s,2,7,3,F1.7.09,8231 x 1158,F2
F2s,2,8,4,F1.2.02,1158 x 6125,F2
F2s,2,9,5,S1.2.09,1158,selfed_parent
F2s,2,10,6,F1.2.02,1158 x 6125,F2
F2s,2,11,1,F1.5.05,6024 x 8231,F2
F2s,2,1,2,F1.2.02,1158 x 6125,F2
F2s,2,2,3,F1.7.09,8231 x 1158,F2
F2s,2,3,4,S1.10.01,8231,selfed_parent
F2s,2,4,5,F1.2.02,1158 x 6125,F2
F2s,2,5,6,F1.5.05,6024 x 8231,F2
F2s,2,6,1,F1.2.02,1158 x 6125,F2
F2s,2,7,2,F1.5.05,6024 x 8231,F2
F2s,2,8,3,F1.2.02,1158 x 6125,F2
F2s,2,9,4,F1.5.05,6024 x 8231,F2
F2s,2,10,5,NA,NA,blank
F2s,2,11,6,F1.1.02,1158 x 6092,F2
F2s,3,1,1,F1.2.02,1158 x 6125,F2
F2s,3,2,2,F1.2.02,1158 x 6125,F2
F2s,3,3,3,F1.7.09,8231 x 1158,F2
F2s,3,4,4,F1.2.02,1158 x 6125,F2
F2s,3,5,5,F1.2.02,1158 x 6125,F2
F2s,3,6,6,F1.7.09,8231 x 1158,F2
F2s,3,7,1,F1.1.02,1158 x 6092,F2
F2s,3,8,2,F1.5.05,6024 x 8231,F2
F2s,3,9,3,F1.5.05,6024 x 8231,F2
F2s,3,10,4,F1.1.02,1158 x 6092,F2
F2s,3,11,5,F1.2.02,1158 x 6125,F2
F2s,3,1,6,F1.5.05,6024 x 8231,F2
F2s,3,2,1,F1.2.02,1158 x 6125,F2
F2s,3,3,2,F1.7.09,8231 x 1158,F2
F2s,3,4,3,F1.1.02,1158 x 6092,F2
F2s,3,5,4,F1.5.05,6024 x 8231,F2
F2s,3,6,5,F1.5.05,6024 x 8231,F2
F2s,3,7,6,S1.10.01,8231,selfed_parent
F2s,3,8,1,F1.1.02,1158 x 6092,F2
F2s,3,9,2,F1.7.09,8231 x 1158,F2
F2s,3,10,3,F1.1.02,1158 x 6092,F2
F2s,3,11,4,F1.7.09,8231 x 1158,F2
F2s,3,1,5,F1.1.02,1158 x 6092,F2
F2s,3,2,6,F1.1.02,1158 x 6092,F2
F2s,3,3,1,F1.5.05,6024 x 8231,F2
F2s,3,4,2,F1.1.02,1158 x 6092,F2
F2s,3,5,3,F1.5.05,6024 x 8231,F2
F2s,3,6,4,F1.1.02,1158 x 6092,F2
F2s,3,7,5,S1.5.16,6092,selfed_parent
F2s,3,8,6,F1.2.02,1158 x 6125,F2
F2s,3,9,1,F1.7.09,8231 x 1158,F2
F2s,3,10,2,F1.2.02,1158 x 6125,F2
F2s,3,11,3,S1.7.08,6125,selfed_parent
F2s,3,1,4,F1.2.02,1158 x 6125,F2
F2s,3,2,5,F1.2.02,1158 x 6125,F2
F2s,3,3,6,F1.7.09,8231 x 1158,F2
F2s,3,4,1,F1.5.05,6024 x 8231,F2
F2s,3,5,2,F1.5.05,6024 x 8231,F2
F2s,3,6,3,S1.03.01,6024,selfed_parent
F2s,3,7,4,F1.1.02,1158 x 6092,F2
F2s,3,8,5,S1.2.09,1158,selfed_parent
F2s,3,9,6,F1.1.02,1158 x 6092,F2
F2s,3,10,1,F1.7.09,8231 x 1158,F2
F2s,3,11,2,F1.2.02,1158 x 6125,F2
F2s,3,1,3,F1.5.05,6024 x 8231,F2
F2s,3,2,4,F1.5.05,6024 x 8231,F2
F2s,3,3,5,F1.2.02,1158 x 6125,F2
F2s,3,4,6,F1.2.02,1158 x 6125,F2
F2s,3,5,1,F1.5.05,6024 x 8231,F2
F2s,3,6,2,F1.2.02,1158 x 6125,F2
F2s,3,7,3,F1.7.09,8231 x 1158,F2
F2s,3,8,4,F1.2.02,1158 x 6125,F2
F2s,3,9,5,F1.1.02,1158 x 6092,F2
F2s,3,10,6,F1.7.09,8231 x 1158,F2
F2s,3,11,1,F1.1.02,1158 x 6092,F2
F2s,3,1,2,F1.7.09,8231 x 1158,F2
F2s,3,2,3,F1.7.09,8231 x 1158,F2
F2s,3,3,4,F1.5.05,6024 x 8231,F2
F2s,3,4,5,F1.5.05,6024 x 8231,F2
F2s,3,5,6,F1.7.09,8231 x 1158,F2
F2s,3,6,1,F1.5.05,6024 x 8231,F2
F2s,3,7,2,F1.1.02,1158 x 6092,F2
F2s,3,8,3,NA,NA,blank
F2s,3,9,4,F1.1.02,1158 x 6092,F2
