experiment,tray,long_edge,short_edge,mother,genotype,type
pure_lines,16,7,2,,6244,pure_lines
pure_lines,16,7,3,Hossjo-1,Hossjo-1,pure_lines
pure_lines,16,7,4,2017_stock,6024,pure_lines
pure_lines,16,7,5,,6237,pure_lines
pure_lines,16,7,6,Eden-Road-3,Eden-Road-3,pure_lines
pure_lines,16,8,1,,8231,pure_lines
pure_lines,16,8,2,Hossjo-1,Hossjo-1,pure_lines
pure_lines,16,8,3,,8231,pure_lines
pure_lines,16,8,4,2017_stock,6046,pure_lines
pure_lines,16,8,5,2017_stock,6017,pure_lines
pure_lines,16,8,6,2017_stock,6184,pure_lines
pure_lines,16,9,1,,6244,pure_lines
pure_lines,16,9,2,,6237,pure_lines
pure_lines,16,9,3,2017_stock,6017,pure_lines
pure_lines,16,9,4,,6237,pure_lines
pure_lines,16,9,5,,6046,pure_lines
pure_lines,16,9,6,Eden-Road-1,Eden-Road-1,pure_lines
pure_lines,16,10,1,,6244,pure_lines
pure_lines,16,10,2,,6184,pure_lines
pure_lines,16,10,3,Hossjo-2,Hossjo-2,pure_lines
pure_lines,16,10,4,,6024,pure_lines
pure_lines,16,10,5,Hossjo-1,Hossjo-1,pure_lines
pure_lines,16,10,6,2017_stock,1158,pure_lines
pure_lines,16,11,1,2017_stock,6017,pure_lines
pure_lines,16,11,2,Hossjo-2,Hossjo-2,pure_lines
pure_lines,16,11,3,2017_stock,8231,pure_lines
pure_lines,16,11,4,,6024,pure_lines
pure_lines,16,11,5,,6046,pure_lines
pure_lines,16,11,6,2017_stock,6237,pure_lines
pure_lines,17,1,1,,6024,pure_lines
pure_lines,17,1,2,2017_stock,6184,pure_lines
pure_lines,17,1,3,Hossjo-2,Hossjo-2,pure_lines
pure_lines,17,1,4,2017_stock,1158,pure_lines
pure_lines,17,1,5,2017_stock,6244,pure_lines
pure_lines,17,1,6,2017_stock,8231,pure_lines
pure_lines,17,2,1,2017_stock,6184,pure_lines
pure_lines,17,2,2,2017_stock,1158,pure_lines
pure_lines,17,2,3,,6092,pure_lines
pure_lines,17,2,4,2017_stock,6024,pure_lines
pure_lines,17,2,5,,6092,pure_lines
pure_lines,17,2,6,,6125,pure_lines
pure_lines,17,3,1,2017_stock,6184,pure_lines
pure_lines,17,3,2,2017_stock,6092,pure_lines
